Name,Metro/Rural,Metro Pole,Total Population,Commuter %,Total Commuters,Solo Commuter %,Carpooler %,Public Transit %,Walking %,Other Transit %,Latitude,Longitude
"Johnson County, Kansas",Metro,Kansas City,572428.0,52.577791442766596,300970.0,85.22909260059141,7.003023557165165,0.3784430341894541,0.8598863674120345,0.8824799813934944,38.845412,-94.8520636
"Madison County, Illinois",Metro,St. Louis,266759.0,46.25523412518415,123390.0,85.36915471269957,6.868465840019451,1.6857119701758652,1.0795040116703136,0.9652321906151227,38.9041402,-89.9253233
"Leavenworth County, Kansas",Metro,Kansas City,78785.0,44.093418797994545,34739.0,81.32070583494055,12.023950027346785,0.17271654336624545,2.0150263392728633,1.6379285529232277,39.1713075,-95.01824599999999
"St. Clair County, Illinois",Metro,St. Louis,265569.0,44.33424081877027,117738.0,82.02194703494199,7.403726919091542,4.23822385296166,1.7165231276223478,1.3750870577043945,38.40081199999999,-89.9253233
"Linn County, Kansas",Metro,Kansas City,9524.0,41.589668206635864,3961.0,83.5142640747286,10.350921484473616,0.2777076495834385,0.9845998485231002,0.681646048977531,38.1339574,-94.81059549999999
"Clinton County, Illinois",Metro,St. Louis,37858.0,48.85361086164087,18495.0,82.17896728845633,9.737766964044337,0.6217896728845633,2.1789672884563394,1.6436874831035415,38.56844419999999,-89.62516459999999
"Miami County, Kansas",Metro,Kansas City,32787.0,48.39418062036783,15867.0,84.4457049221655,7.865380979391189,0.13865254931619084,1.1281275603453709,1.2919896640826873,38.6381689,-94.81059549999999
"Monroe County, Illinois",Metro,St. Louis,33703.0,50.66017861911403,17074.0,84.65503104134942,7.654913904181797,0.6266838467845848,1.02495021670376,0.3045566358205459,38.2742526,-90.1869644
"Wyandotte County, Kansas",Metro,Kansas City,161777.0,44.180569549441515,71474.0,80.97489996362313,13.337717211853262,1.3333519881355458,1.2969751238212497,0.6925595321375605,39.0986811,-94.7691586
"Jersey County, Illinois",Metro,St. Louis,22441.0,43.93743594313979,9860.0,84.60446247464503,7.099391480730223,0.18255578093306288,3.3975659229208928,0.6085192697768762,39.0704754,-90.37483540000001
